standard_relation,standard_value,standard_units,standard_type,pchembl_value,data_validity_comment,potential_duplicate,assay_chembl_id,assay_type,description,canonical_smiles,molecule_chembl_id,target_chembl_id
=,0.5,nM,Ki,9.3,,0,CHEMBL658042,B,Inhibitory activity against Human carbonic anhydrase II,NS(=O)(=O)c1nc2ccc(NC(=O)CN(CCOCCOCCN(CC(=O)O)CC(=O)Nc3ccc4nc(S(N)(=O)=O)sc4c3)CC(=O)O)cc2s1,CHEMBL284354,CHEMBL205
=,0.5,nM,Ki,9.3,,0,CHEMBL658042,B,Inhibitory activity against Human carbonic anhydrase II,NS(=O)(=O)c1nc2ccc(OC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)Oc3ccc4nc(S(N)(=O)=O)sc4c3)CC(=O)O)CC(=O)O)cc2s1,CHEMBL408856,CHEMBL205
=,0.5,nM,Ki,9.3,,0,CHEMBL658042,B,Inhibitory activity against Human carbonic anhydrase II,NS(=O)(=O)c1nnc(NC(=O)CCNC(=O)CN(CCOCCOCCN(CC(=O)O)CC(=O)NCCC(=O)Nc2nnc(S(N)(=O)=O)s2)CC(=O)O)s1,CHEMBL32848,CHEMBL205
=,0.5,nM,Ki,9.3,,0,CHEMBL658042,B,Inhibitory activity against Human carbonic anhydrase II,NS(=O)(=O)c1nnc(NC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)Nc2nnc(S(N)(=O)=O)s2)CC(=O)[O-])CC(=O)[O-])s1.[Zn+2],CHEMBL2112274,CHEMBL205
=,0.5,nM,Ki,9.3,,0,CHEMBL658043,B,Inhibitory activity against human recombinant carbonic anhydrase II (CA2),C[C@H](CCC(=O)Nc1nnc(S(N)(=O)=O)s1)[C@H]1CC[C@H]2[C@@H]3C(=O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC(=O)[C@@]21C,CHEMBL3137793,CHEMBL205
=,0.5,nM,Ki,9.3,,0,CHEMBL658942,B,Inhibition of human carbonic anhydrase II (hCA II),Cn1nc(S(N)(=O)=O)s/c1=N/S(=O)(=O)c1ccc(NSC(=S)N2CCOCC2)cc1,CHEMBL275565,CHEMBL205
=,0.5,nM,Ki,9.3,,0,CHEMBL659846,B,Inhibition of human cloned Carbonic anhydrase II,Cn1nc(S(N)(=O)=O)s/c1=N\S(=O)(=O)c1ccc(NCc2cc(=O)oc3cc(Cl)ccc23)cc1,CHEMBL158693,CHEMBL205
=,0.5,nM,Ki,9.3,,0,CHEMBL824220,B,"Inhibition of cloned isozyme, human carbonic anhydrase II",NS(=O)(=O)c1nc2ccc(OCCOC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)OCCOc3ccc4nc(S(N)(=O)=O)sc4c3)CC(=O)O)CC(=O)O)cc2s1,CHEMBL346691,CHEMBL205
=,0.5,nM,Ki,9.3,,0,CHEMBL828781,B,Binding affinity towards human cloned carbonic anhydrase II,NS(=O)(=O)c1nnc(NS(=O)(=O)c2ccc(N/C(S)=N/c3ccccc3F)cc2)s1,CHEMBL427329,CHEMBL205
=,0.51,nM,Ki,9.29,,0,CHEMBL4136600,B,Inhibition of recombinant human carbonic anhydrase 2 incubated for 15 mins by stopped flow CO2 hydrase assay,CC(C)[C@H](N)C[Se]c1ccc(S(N)(=O)=O)cc1,CHEMBL4173889,CHEMBL205
=,0.53,nM,Ki,9.28,,0,CHEMBL3811428,B,Inhibition of human recombinant CA2 preincubated for 15 mins prior to testing by stopped flow CO2 hydrase assay,NC(N)=NS(=O)(=O)c1ccc(N/N=C2\SC(Nc3ccc(S(N)(=O)=O)cc3)=NC2=O)cc1,CHEMBL3809123,CHEMBL205
=,0.54,nM,Ki,9.27,,0,CHEMBL3602837,B,Inhibition of human carbonic anhydrase-2 incubated for 10 mins prior to testing by stopped-flow CO2 hydrase assay,CC(=O)N1N=C(c2ccc(C)cc2)CC1c1c(C)nn(-c2ccc(S(N)(=O)=O)cc2)c1Cl,CHEMBL3601460,CHEMBL205
=,0.54,nM,Ki,9.27,,0,CHEMBL4155227,B,Inhibition of human carbonic anhydrase 2 incubated for 15 mins prior to testing by stopped-flow CO2 hydration assay,CC(=O)Oc1ccccc1C(=O)Nc1ccc([Se]Cc2ccc(S(N)(=O)=O)cc2)cc1,CHEMBL4163381,CHEMBL205
=,0.55,nM,Ki,9.26,,0,CHEMBL3101837,B,Inhibition of human carbonic anhydrase 2 preincubated for 15 mins by stopped-flow CO2 hydration assay,COc1ccc(C(=O)N/N=C(C)/C(=N/Nc2ccc(S(N)(=O)=O)cc2)S(=O)(=O)c2ccccc2)cc1,CHEMBL3098527,CHEMBL205
=,0.56,nM,Ki,9.25,,0,CHEMBL3101837,B,Inhibition of human carbonic anhydrase 2 preincubated for 15 mins by stopped-flow CO2 hydration assay,CC(=O)C1=NN(c2ccc(S(N)(=O)=O)cc2)/C(=C(\C#N)C(=O)Nc2ccc(S(N)(=O)=O)cc2)S1,CHEMBL3098533,CHEMBL205
=,0.57,nM,Ki,9.24,,0,CHEMBL3101837,B,Inhibition of human carbonic anhydrase 2 preincubated for 15 mins by stopped-flow CO2 hydration assay,CC(=N\NC(=O)c1ccc(Cl)cc1)/C(=N/Nc1ccc(S(N)(=O)=O)cc1)N1CCCCC1,CHEMBL3098522,CHEMBL205
=,0.58,nM,Ki,9.24,,0,CHEMBL3811428,B,Inhibition of human recombinant CA2 preincubated for 15 mins prior to testing by stopped flow CO2 hydrase assay,NS(=O)(=O)c1ccc(Nc2nc(Nc3ccc(F)cc3)cs2)cc1,CHEMBL3809207,CHEMBL205
=,0.6,nM,Ki,9.22,,0,CHEMBL2166495,B,Inhibition of full length human CA2 cytosolic isoform preincubated for 15 mins by stopped-flow CO2 hydration assay,NS(=O)(=O)Nc1ccc(S(=O)(=O)Nc2ccc(C(=O)NCCc3ccc(S(N)(=O)=O)cc3)cc2)cc1,CHEMBL2164737,CHEMBL205
